   61.02184   0.00198   0.01638
   22.71264   0.00531   0.04400
   11.16886   0.01072   0.08914
   17.22654   0.00699   0.05797
    7.25201   0.01648   0.13745
    7.48986   0.01585   0.13211
    4.91731   0.02416   0.20218
   33.48466   0.00360   0.02984
   37.91835   0.00318   0.02634
    3.48973   0.03371   0.28348
   48.68067   0.00248   0.02054
   23.66784   0.00509   0.04218
   47.20689   0.00256   0.02116
    7.99683   0.01487   0.12388
   59.76429   0.00202   0.01673
   13.98698   0.00860   0.07146
    6.00500   0.01983   0.16560
   38.29956   0.00315   0.02610
    8.44071   0.01421   0.11838
   60.45312   0.00200   0.01654
   18.09078   0.00665   0.05514
   30.84308   0.00390   0.03231
    0.28868   0.31756   3.01449
   34.14634   0.00353   0.02926
    1.45150   0.07700   0.66121
    4.93471   0.02402   0.20102
   25.88761   0.00466   0.03861
   12.78828   0.00939   0.07806
    6.17845   0.01938   0.16182
    5.03432   0.02367   0.19805
   57.27957   0.00211   0.01745
   19.32475   0.00620   0.05146
   25.85908   0.00466   0.03862
   70.17523   0.00172   0.01424
    8.06646   0.01484   0.12365
   23.75044   0.00506   0.04195
    1.61680   0.07148   0.61218
    2.12719   0.05362   0.45531
   21.57909   0.00557   0.04620
   17.35515   0.00690   0.05729
   38.71589   0.00312   0.02582
   12.01521   0.00998   0.08291
   30.67844   0.00393   0.03258
   46.08181   0.00262   0.02169
    2.27054   0.05150   0.43686
   33.35072   0.00361   0.02993
   26.63244   0.00452   0.03746
   23.20287   0.00519   0.04307
    8.30893   0.01444   0.12026
   15.41346   0.00778   0.06455
   19.30253   0.00623   0.05166
   16.70544   0.00720   0.05977
    8.97362   0.01338   0.11141
   31.20223   0.00386   0.03197
   10.33525   0.01158   0.09633
   11.95832   0.01001   0.08319
    1.97755   0.05878   0.50034
    6.17557   0.01928   0.16097
   26.80551   0.00450   0.03728
   56.52610   0.00214   0.01769
   28.55395   0.00422   0.03494
   11.92921   0.01008   0.08374
    0.22460   0.32678   3.11161
   58.48732   0.00206   0.01708
    0.23022   0.37900   3.66665
   34.79083   0.00347   0.02871
   50.83137   0.00237   0.01965
   28.79052   0.00419   0.03470
    5.35212   0.02226   0.18613
   41.37952   0.00292   0.02416
    1.75692   0.06614   0.56504
   22.94121   0.00526   0.04359
   13.55778   0.00887   0.07364
   18.15943   0.00663   0.05501
    8.91211   0.01335   0.11111
    5.81369   0.02039   0.17034
   15.36548   0.00783   0.06505
   18.29710   0.00656   0.05442
   43.03834   0.00280   0.02321
   30.42031   0.00396   0.03286
   31.77374   0.00379   0.03140
   19.03680   0.00633   0.05250
   24.32267   0.00496   0.04109
   29.31024   0.00411   0.03410
    7.21625   0.01649   0.13748
    7.75132   0.01539   0.12824
   14.26691   0.00841   0.06984
   38.94905   0.00309   0.02563
   27.79736   0.00434   0.03595
    0.21167   0.36764   3.54524
   14.06428   0.00852   0.07078
   52.84004   0.00228   0.01891
    9.72729   0.01232   0.10250
   12.16797   0.00988   0.08213
   41.35533   0.00292   0.02417
    0.67393   0.14864   1.31941
   42.80273   0.00282   0.02334
   19.84516   0.00606   0.05027
   13.04603   0.00915   0.07598
   17.04964   0.00704   0.05843
   41.32450   0.00292   0.02419
